serial_number,year,month,day,facility_id,facility_name,facility_zip,score,grade,service_description,category,size,riskLevel,owner_id,owner_name
DAYWKDQRX,2016,1,11,FA0179832,CALIMEX FAMILY MARKET,90042,92,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",HIGH RISK,OW0185320,S&T ENTERPRISE INC
DAVC5QDLA,2016,1,11,FA0051455,TERIKISS,90020,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0024961,MOON JOHN SI-JONG
DALQMW6GI,2016,1,11,FA0174310,SAMURAI RESTAURANT,90023,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0180995,GUN SICK SHIN
DAIUARVYG,2016,1,11,FA0159575,BURGER KING #4107,90062,96,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0124584,HAKIMIANPOUR SANTA MONICA LLC
DAD5NZXOL,2016,1,11,FA0018353,DEANO'S GOURMENT PIZZA,90036,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0031986,"SCHWARTZ, DEAN"
DA7HOJ5UN,2016,1,11,FA0156835,GOOPOJIB,90005,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0122070,EUN JU PARK
DA7HEXLM0,2016,1,11,FA0068852,POLLO MUNDIAL,90057,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0019249,"KIM, EUN"
DAYDMATPO,2016,1,11,FA0011591,DOWN AND OUT BAR,90013,97,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,LOW RISK,OW0002086,ALEXANDRIA COMMERCIAL LLC
DAY0L7DFJ,2016,1,11,FA0002200,KOREAN GARDENS RESTAURANT,90006,93,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0019895,KOREAN GARDENS RESTAURANT
DAQMJSIOM,2016,1,11,FA0049427,SUBWAY SANDWICHES,90034,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0038300,WAHEGURU SUBWAY INC.
DAHVETER0,2016,1,11,FA0163016,CVS    #10292,90062,95,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",LOW RISK,OW0012926,"GARFIELD BEACH CVS, LLC."
DAUZXJTSJ,2016,1,11,FA0162884,RESTORE,90039,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0126573,RESTORE LLC
DAG0GTZG3,2016,1,11,FA0177453,CHILBO MYUNOK,90020,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0183377,"SUNGWON FOOD, INC"
DARLWY0PH,2016,1,11,FA0014272,CHALIOS,90022,85,B,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0029758,"RAVIC FOODS, INC."
DAMQ2BAFF,2016,1,11,FA0067745,NUMERO UNO MARKET #103,90003,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0026360,NUMERO UNO ACQUISITIONS LLC
DAR1HGJSX,2016,1,11,FA0020426,EL AMANECER SALVADORENO,90005,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0010793,"EL AMANECER SALVADORENO, INC"
DAWXNDTBG,2016,1,9,FA0179854,CARONDELET HOUSE,90057,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0185336,TRES LA
DA03IQGNS,2016,1,9,FA0056852,88 SLT,90057,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0019019,"KIL, WONG HOON"
DAGPPOA0K,2016,1,9,FA0024368,USC GALEN CENTER,90089,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0002904,ARAMARK HIGHER EDUCATION
DAZ9VL5VN,2016,1,9,FA0160882,Q SUSHI,90014,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0125819,QRS VENTURES LLC
DAZQVYELZ,2016,1,9,FA0024368,USC GALEN CENTER,90089,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0002904,ARAMARK HIGHER EDUCATION
DANV8JQTX,2016,1,9,FA0171770,GANG NAM STATION,90057,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0178829,LEE KWANG BYOUNG
DACS8B9VA,2016,1,9,FA0024368,USC GALEN CENTER,90089,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0002904,ARAMARK HIGHER EDUCATION
DAAEUWVPL,2016,1,9,FA0024368,USC GALEN CENTER,90089,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0002904,ARAMARK HIGHER EDUCATION
DAQIFCGNO,2016,1,9,FA0024368,USC GALEN CENTER,90089,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0002904,ARAMARK HIGHER EDUCATION
DAWEVIQPS,2016,1,9,FA0024368,USC GALEN CENTER,90089,95,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0002904,ARAMARK HIGHER EDUCATION
DALLS0JE8,2016,1,8,FA0164614,BAMBOO EXPRESS & CHINESE CUISINE,90015,85,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0127944,ERASMO HERNANDEZ
DAJ8K5IY4,2016,1,8,FA0073437,VIKTOR BENES CONTINENTAL BAK,90027,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0040196,"ZELADA, JUAN J."
DALTYQJW6,2016,1,8,FA0069414,RED SHELL FOODS,90027,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",HIGH RISK,OW0025515,NAGATANIEN RS FOOD LLC
DAWOIWMBG,2016,1,8,FA0061052,DONUT KING,90059,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0018289,"KAING, LEANG HENG"
DAGTDQRRR,2016,1,8,FA0014927,GELSON'S MARKET,90027,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0013032,GELSON'S MARKET
DAVAPGEEP,2016,1,8,FA0064528,JUAN'S ROTISSERIE CHICKEN #2,90022,84,B,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0026664,"KING, RICHARD PAUL"
DA89QPP0O,2016,1,8,FA0021925,EMILIA'S FASTFOOD,90058,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0003059,"ARMAS OCHOA, MARIA ELENA"
DAKOJ02FM,2016,1,8,FA0164356,ADOTECA,90046,96,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0127709,ADOTECA
DA0C5XTSU,2016,1,8,FA0012370,CALIFORNIA SCIENCE CTR IMAX,90037,99,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0005801,CALIF SCIENCE CTR IMAX
DAEEMMAYO,2016,1,8,FA0159078,ANTOJITOS LAS BELLAS MARIAS,90058,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0124113,"CUELLAR, JOSE"
DAAXBSD7A,2016,1,8,FA0022171,ET'S DONUTS,90019,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0018957,"KHOUN KHIEV, ET AL"
DAHWI75MP,2016,1,8,FA0028989,IHOP,90025,96,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0005444,"BUNHOP, LLC"
DAGN91RHA,2016,1,8,FA0156863,SMART & FINAL #444,90019,95,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",HIGH RISK,OW0033212,SMART & FINAL STORES LLC
DAEI6M3Q6,2016,1,8,FA0064949,KRUANG TEDD,90027,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0001034,5151 HOLLYWOOD LLC
DAFDREA5E,2016,1,8,FA0149306,PIZZA REV,90019,93,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0114895,"PIE SQUARED, LLC"
DAP7MKC0T,2016,1,8,FA0060791,DENNY'S RESTAURANT #2125,90065,97,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0009769,DENNY'S INC
DANISCTGR,2016,1,8,FA0066503,MARQUEZ STORE,90058,91,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",MODERATE RISK,OW0023471,MARQUEZ JUAN RAMIREZ
DASKTITZV,2016,1,8,FA0027371,HECHO EN MEXICO,90032,96,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0006528,"CASTRO, CONCEPCION"
DAMGK75DR,2016,1,8,FA0160505,SQUARE ONE SILVERLAKE,90039,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0125467,FOUR SQUARE TAVERN LLC
DA5DQZ93G,2016,1,8,FA0013423,CARMEN'S SNACH SHOP,90014,92,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",LOW RISK,OW0030596,"ROJAS, CARMEN RAMIREZ"
DAC4R2XMX,2016,1,8,FA0011047,BUDLONG MARKET,90044,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",LOW RISK,OW0009691,"DELGADO, MARCO A PEREZ"
DA9H2YS24,2016,1,8,FA0035366,LITTLE SAN SALVADOR REST,90029,83,B,OWNER INITIATED ROUTINE INSPECT.,RESTAURANT,151 + SEATS,HIGH RISK,OW0024423,MICROSELF INC. ANA RAMOS PRE
DADS4KPHZ,2016,1,8,FA0044836,PLAZA DE MARISCOS #2,90058,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0013594,"GOMEZ, JOSE JAIME"
DATFHMEES,2016,1,8,FA0030280,REDS LIQUOR,90044,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",LOW RISK,OW0039870,"YOON,DAL SUP"
DALD1AMXT,2016,1,8,FA0179337,CRAFT PIZZA N' CHICKEN,90021,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0184909,"GMM VENTURES INC,"
DAN7FTO8P,2016,1,8,FA0014927,GELSON'S MARKET,90027,95,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",HIGH RISK,OW0013032,GELSON'S MARKET
DAHMJNV02,2016,1,8,FA0012765,EL TEJANITO,90058,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0002044,"ALCORTA, RAYMOND"
DA3OUR6T3,2016,1,8,FA0174166,SILVERLAKE WINE,90021,100,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0180868,EVERSON ROYCE LLC
DAVPIGXTK,2016,1,8,FA0034882,SUBWAY #7153,90071,97,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0031428,SAMRA IQBAL S.
DA6Y6KR1T,2016,1,8,FA0062291,FRANKLIN 76,90028,94,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",LOW RISK,OW0039975,YRT INC
DA9SHLSR0,2016,1,8,FA0021313,LAMWAY BAKING,90026,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0020644,"LAM, CHARLIE"
DAXF0AYLP,2016,1,8,FA0017659,HP ICE CREAM & SNACK SHOP,90003,88,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0099604,"PACHECO, JACKELINE"
DAL9DMDHH,2016,1,8,FA0046989,SANDWICH THAN HUU,90012,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0013271,GIP QUANG X
DAMPDOBTD,2016,1,8,FA0014927,GELSON'S MARKET,90027,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0013032,GELSON'S MARKET
DAPPF1OD0,2016,1,8,FA0172207,7-ELEVEN,90045-5800,90,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",MODERATE RISK,OW0101584,"LS AND PARTNERS AT LAX, LLC"
DAY18NLJF,2016,1,8,FA0166223,TERMINAL MARKET,90021,91,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",LOW RISK,OW0129396,JUAN JOSE DIAZ-PADILLA
DAXVRVKGW,2016,1,8,FA0010409,BONAVENTURE BREWING CO BAR,90071,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0004998,BONAVENTURE BREWING CO REST
DAAAODEO0,2016,1,8,FA0008243,CHA CHA CHILI,90032,92,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0006829,CHA GAVIN
DAQJPMISI,2016,1,8,FA0034477,LA JAROCHITA,90058,100,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0006159,CARDOSO-BENITES CECILIA
DACN0A6S5,2016,1,8,FA0054028,VICKY'S MARKET,90021,94,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",LOW RISK,OW0004365,BENIGNO VICTORINA B
DAWCV2RA0,2016,1,8,FA0179897,THE KITCHEN @ WESTWOOD,90024,84,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0185377,TOUCH OF AEGEAN LLC
DABFB1KD2,2016,1,8,FA0179844,OTIUM,90012,98,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0185328,"HOPE STREET RESTAURANTS, LLC"
DAA3BYESR,2016,1,8,FA0162711,LOS BURRITOS RESTAURANT,90065,85,B,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0126421,MELISSA LUNA
DAMEHJS3J,2016,1,8,FA0053340,VENICE MARKET & BAKERY,90019,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0024021,"MECINAS, SINECIO"
DAUGUSKNS,2016,1,8,FA0021067,EL PARIAN,90015,90,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0023127,"MANCILLA, MARIA"
DAC8CBG08,2016,1,8,FA0049254,SUBWAY #24810,90066,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0011648,FARZAN COMPANY SECOND LLC
DAO07BKXQ,2016,1,8,FA0024371,GALLERIA MARKET,90020,98,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",HIGH RISK,OW0012651,"GALLERIA MARKET, LP"
DAQSMATH0,2016,1,8,FA0138105,THE FRENCH KITCHEN,90071,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",LOW RISK,OW0101509,"REYES, ALFREDO O."
DA84KCLMF,2016,1,8,FA0044276,PLANCHA,90048,92,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0038609,WEST COAST TACOS LLC
DA2DAFROT,2016,1,8,FA0070522,SIMPLE THINGS,90048,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0032959,SIMPLE THINGS 3RD STREET LLC
DAWEDBAJC,2016,1,8,FA0155877,YUMMIE SANDWICH & FOOD TO GO,90012-2341,86,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0121147,"TA,JENNIE QUYEN TU"
DAB4AX5BA,2016,1,8,FA0019067,JOHNNIE'S MARKET,90032,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0015575,"HIM, HEAP KIM"
DABLSJGYM,2016,1,8,FA0010408,BONAVENTURE BREWING CO REST,90017,98,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0004998,BONAVENTURE BREWING CO REST
DAJ2RFEN2,2016,1,8,FA0053886,DECARLO PIZZA,90066,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0101406,"DECARLO PIZZA, INC."
DAOGM0MYM,2016,1,8,FA0066403,MARIE CALLENDER'S RESTAURANT,90064,91,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0008964,COX-KALMBACH ENTERPRISES INC
DATZLC22G,2016,1,8,FA0164752,GUS'S LUNCH BOX,90039,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0128068,GUS'S LUNCH BOX
DANTMY90S,2016,1,8,FA0064854,KING TORTA,90032,96,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0013737,"GONZALEZ, JUAN JOSE"
DAVN46RJV,2016,1,8,FA0138566,HAKATA RAMEN SHIN-SEN-GUMI,90025,98,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0101908,"MITSUYASU, SHIGETA"
DAYO8XV5M,2016,1,8,FA0012495,EL POLLO LOCO #5534,90065,94,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0010868,"EL POLLO LOCO, INC."
DA0N9M0WO,2016,1,8,FA0137418,JS LIQUOR & MARKET,90044,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0100365,"CHOI, KEVIN KWANGSEOK"
DARRZ3YZX,2016,1,8,FA0033073,SIAM CHAN RESTAURANT,90066,92,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0032775,SIAM CHAN INC.
DA1BXOCEP,2016,1,8,FA0014181,FRANKLIN & GOWER SERVICE,90028,98,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",LOW RISK,OW0025587,"NANAS, OHANES"
DAFU22MKF,2016,1,8,FA0036314,TAMALES LUPITA,90065,82,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0014196,GUADALUPE MAIRA
DAASQI2FE,2016,1,8,FA0038748,TROY'S BURGERS #10,90032,93,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0019726,RITA KLADOURIS
DABRAIDRT,2016,1,7,FA0179823,WESTERN SASHIMI,90020-4191,93,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0185313,"YONGSAN FOOD, INC"
DA3QVA9KP,2016,1,7,FA0174379,WOW STORE,90032,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",LOW RISK,OW0181061,WOW STORE
DASMDFIUK,2016,1,7,FA0013948,FOOD 4 LESS #359,90018,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0012108,"FOOD 4 LESS, INC."
DAQTGEN9O,2016,1,7,FA0032414,SEIKI SHI SUSHI,90067,93,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0006721,CENTURY CITY SUSHI INC
DAPHBQWCD,2016,1,7,FA0056823,7-ELEVEN STORE #18532D,90027,94,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0033091,"SINGH,PARMINDER P"
DA3LJEOBW,2016,1,7,FA0026903,OISHI TERYAKI,90057,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0039414,Y J FOODS INC.
DAGBO4ZH5,2016,1,7,FA0166536,BLUE COLLAR PUB,90036,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0129666,"BLUE COLLAR PUB GROUP ,LLC"
DAGW60BRQ,2016,1,7,FA0020817,EL MOLCAJETE,90057,96,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0014390,"GUZMAN, LUIS"
DA2N8U1I8,2016,1,7,FA0044198,PENGUIN FISH & CHIPS,90035,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0016305,"HONG, YONG SIN"
DA0EJBFIG,2016,1,7,FA0026809,HAPPY RICE CAKE HOUSE,90005,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0019397,"KIM, KYUNG SOOK"
DAKLTIT4A,2016,1,7,FA0037408,LACHA SOMTUM,90027,94,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0006894,"CHAIRUNGROJSAKUL, NATTAWALEE"
DAA1CCBTL,2016,1,7,FA0061594,EL RINCON USULUTECO,90018,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0036491,TREJO MEJIA MIGUEL
DAELC6DH7,2016,1,7,FA0160150,COREA BBQ,90020,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0125132,LEE DONG YOUN
DA9072NWA,2016,1,7,FA0020544,EL BUEN GUSTO RESTAURANT #4,90039,86,B,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0013957,"GRANILLO, ISABEL"
DAKAUQULQ,2016,1,7,FA0018605,JAR,90048,92,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0038798,WHERE'S DINNER PRODUCTIONS L
DAAK1GMFU,2016,1,7,FA0072895,TRADER JOE'S #033,90045,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0036363,TRADER JOES COMPANY INC.
DA53HRKSH,2016,1,7,FA0180011,OZU EAST KITCHEN,90039,93,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0185473,EAST KITCHEN LLC
DAIC1Y7LE,2016,1,7,FA0050899,TEKILA,90028,90,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0035717,THE ROOM GROUP INC
DAEJSHOHC,2016,1,7,FA0034100,STAPLES #951,90045,100,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",LOW RISK,OW0033922,"STAPLES THE OFFICE SUPERSTORE, LLC."
DA1DTB4BQ,2016,1,7,FA0072731,TOM'S JR BURGERS,90011,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0028779,"POLITIS, SPIROS"
DARIQBVOT,2016,1,7,FA0179912,EJ'S BITES,90015-1302,94,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0185393,EJ'S BITES  LLC
DA0UEPKN0,2016,1,7,FA0069795,ROUBO'S PLACE,90028,92,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0002592,"AMIRKHANIAN, ROBERT"
DAAYMVQXO,2016,1,7,FA0035928,LE MANDARETTE,90028,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0015010,HAW JACK CORP.
DAAHFTX5G,2016,1,7,FA0036472,LIQUOR TO GO GO,90028,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",LOW RISK,OW0035334,"TESSEMA, LEALEM KASSA"
DAIN0485R,2016,1,7,FA0015107,GLENDALE BLVD CHEVRON,90026,98,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",LOW RISK,OW0039589,"YEE,ZIGMOND CHIU"
DAOJY0I6Z,2016,1,7,FA0025472,MOM'S DONUTS & CHINESE FOOD,90026,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0010062,"DIEP, HEIDY"
DAUU72FLO,2016,1,7,FA0043646,PEKING KITCHEN,90036,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0040324,"ZOU, QI"
DAMDJJ73A,2016,1,7,FA0046179,REGENT CHINA INNC,90012,92,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0029911,"REGENT CHINA, INC"
DAO2T0HPE,2016,1,7,FA0038982,MENDOCINO FARMS,90036,96,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0009183,"MENDOCINO FARMS, LLC"
DAU1B1488,2016,1,7,FA0071552,MELS DELI,90013,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0034556,SUSTAIN JUICERY INC
DAUEIQINI,2016,1,7,FA0031018,JOON'S BARGAIN,90037,93,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",LOW RISK,OW0027771,"PARK, IN CHOL"
DARKDQLFN,2016,1,7,FA0056332,DINO'S CHICKEN AND BURGERS LOS ANGELES,90006,92,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0100487,"DINO'S CHICKEN AND BURGERS LOS ANGELES, LLC"
DA6EH6M4M,2016,1,7,FA0048691,STARBUCKS COFFEE #5394,90064,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0033938,STARBUCKS COFFEE CORPORATION
DAWOUCJ85,2016,1,7,FA0066912,MICKEY'S LIQUOR,90032,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",LOW RISK,OW0099534,"PARK, IN SOON"
DAHFFUETD,2016,1,7,FA0156713,DOLLAR TREE #5490,90032,98,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0010221,"DOLLAR TREE STORES, INC"
DAEN8FZQ0,2016,1,7,FA0020288,EL ADOBRE MARKET & LIQUOR,90027,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",LOW RISK,OW0020071,KUNDU MANU
DAXIQUQ00,2016,1,7,FA0167784,STAFFORD & MATHIS KITCHEN,90015,92,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0130490,"JIA YUAN USA CO, INC."
DAZBIGWJY,2016,1,7,FA0016693,MARKET PROVISIONS,90048,93,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0036561,TRITRI FOODS INC.
DANTA6UU6,2016,1,7,FA0071586,SWEETR CRUSH,90049,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0034609,SWEET CRUSH LLC.
DAQSFJQDX,2016,1,7,FA0014853,CHINESE TASTE,90033,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0007581,"CHINESE TASTE-LA, INC"
DA7SDL5I8,2016,1,7,FA0136731,BEST DONUTS,90062,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0099383,"ENG, SAMBO"
DAURLJHWD,2016,1,7,FA0014298,CHAO KRUNG,90036,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0020081,KUNTEE SUPA
DADGGEVG2,2016,1,7,FA0055279,YEYA'S,90033,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0013566,GOMEZ ERICA
DA957QDKT,2016,1,7,FA0167194,J AND P DELI,90014,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0130261,SOKHENG MUONA
DAYVAKTWO,2016,1,7,FA0030856,JACK IN THE BOX #3214,90015,98,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0017276,"JACK IN THE BOX, INC"
